Query,Rank,Proposal_ID,Title,Domain,Methodology,Distance
Deep learning for medical diagnosis,1,P066,Robust Medical Imaging using Graph Neural Networks,Healthcare,Graph Neural Networks,0.9965532422065735
Deep learning for medical diagnosis,2,P015,Robust Medical Imaging using Explainable AI,Healthcare,Explainable AI,1.0098369121551514
Deep learning for medical diagnosis,3,P122,Advanced Medical Imaging using Machine Learning,Healthcare,Machine Learning,1.012131690979004
Deep learning for medical diagnosis,4,P003,Advanced Cancer Detection using Machine Learning,Healthcare,Machine Learning,1.0613925457000732
Deep learning for medical diagnosis,5,P101,Smart Patient Monitoring using Machine Learning,Healthcare,Machine Learning,1.0752698183059692
Climate prediction using machine learning,1,P158,Novel Weather Prediction using Predictive Analytics,Climate Science,Predictive Analytics,0.76645827293396
Climate prediction using machine learning,2,P178,Novel Climate Modeling using Federated Learning,Climate Science,Federated Learning,0.781484067440033
Climate prediction using machine learning,3,P140,Novel Climate Modeling using Computer Vision,Climate Science,Computer Vision,0.8115147352218628
Climate prediction using machine learning,4,P032,Scalable Weather Prediction using Transformer Models,Climate Science,Transformer Models,0.8377112746238708
Climate prediction using machine learning,5,P025,Smart Climate Modeling using Graph Neural Networks,Climate Science,Graph Neural Networks,0.906853437423706
Blockchain based supply chain,1,P071,Intelligent Inventory Prediction using Blockchain,Retail,Blockchain,0.8637536764144897
Blockchain based supply chain,2,P205,Fault Detection using Blockchain,Manufacturing,Blockchain,1.02727472782135
Blockchain based supply chain,3,P008,Robust Predictive Maintenance using Blockchain,Manufacturing,Blockchain,1.0784142017364502
Blockchain based supply chain,4,P100,Robust Renewable Energy Forecasting using Blockchain,Energy,Blockchain,1.1849262714385986
Blockchain based supply chain,5,P014,Scalable Water Quality using Blockchain,Environmental Science,Blockchain,1.2341222763061523
Robotics for industrial automation,1,P150,AI-Based Industrial Robots using Natural Language Processing,Robotics,Natural Language Processing,0.8660345077514648
Robotics for industrial automation,2,P192,Industrial Robots using Graph Neural Networks,Robotics,Graph Neural Networks,0.9517012238502502
Robotics for industrial automation,3,P181,AI-Based Warehouse Automation using Predictive Analytics,Robotics,Predictive Analytics,1.0019164085388184
Robotics for industrial automation,4,P044,Automated Warehouse Automation using Computer Vision,Robotics,Computer Vision,1.0028825998306274
Robotics for industrial automation,5,P052,Novel Industrial Robots using Graph Neural Networks,Robotics,Graph Neural Networks,1.0176082849502563
IoT smart irrigation,1,P107,Novel Yield Prediction using Internet of Things,Agriculture,Internet of Things,0.8205602765083313
IoT smart irrigation,2,P028,AI-Based Smart Irrigation using Big Data Analytics,Agriculture,Big Data Analytics,0.8835808038711548
IoT smart irrigation,3,P199,Smart Irrigation using Federated Learning,Agriculture,Federated Learning,0.89859539270401
IoT smart irrigation,4,P133,Smart Crop Disease Detection using Internet of Things,Agriculture,Internet of Things,0.9946541786193848
IoT smart irrigation,5,P033,Intelligent Flood Forecasting using Internet of Things,Climate Science,Internet of Things,1.09554123878479
Cyber attack detection using AI,1,P194,Network Security using Transformer Models,Cybersecurity,Transformer Models,1.0919603109359741
Cyber attack detection using AI,2,P196,Phishing Detection using Deep Learning,Cybersecurity,Deep Learning,1.1262869834899902
Cyber attack detection using AI,3,P206,Threat Intelligence using Blockchain,Cybersecurity,Blockchain,1.151904821395874
Cyber attack detection using AI,4,P171,Robust Network Security using Predictive Analytics,Cybersecurity,Predictive Analytics,1.178337574005127
Cyber attack detection using AI,5,P097,Robust Threat Intelligence using Computer Vision,Cybersecurity,Computer Vision,1.1834348440170288
