Proposal_ID,Title,Summary,Domain,Methodology,Funding_Agency
P031,Novel Traffic Monitoring using Edge Computing,"This project proposes the use of Edge Computing techniques for traffic monitoring in the smart cities domain. The study aims to provide intelligent recommendations using social media posts. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Smart Cities,Edge Computing,National Science Foundation
P173,AI-Based Pollution Detection using Machine Learning,"This project proposes the use of Machine Learning techniques for pollution detection in the environmental science domain. The study aims to enhance decision making using social media posts. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Environmental Science,Machine Learning,Department of Biotechnology
P085,Robust Urban Planning using Internet of Things,"This project proposes the use of Internet of Things techniques for urban planning in the smart cities domain. The study aims to optimize workflows using historical databases. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Smart Cities,Internet of Things,Department of Biotechnology
P200,Traffic Monitoring using Federated Learning,"This proposal develops a Federated Learning framework for traffic monitoring within the smart cities domain. The research focuses on improving performance through advanced learning algorithms, optimization strategies, and intelligent decision support systems.",Smart Cities,Federated Learning,Innovation Fund
P061,Intelligent Disaster Management using Reinforcement Learning,"This project proposes the use of Reinforcement Learning techniques for disaster management in the environmental science domain. The study aims to enhance decision making using satellite images. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Environmental Science,Reinforcement Learning,Industrial Research Council
P156,Intelligent Wildlife Monitoring using Federated Learning,"This project proposes the use of Federated Learning techniques for wildlife monitoring in the environmental science domain. The study aims to strengthen security using financial transactions. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Environmental Science,Federated Learning,Industrial Research Council
P046,Intelligent Wind Energy Analysis using Big Data Analytics,"This project proposes the use of Big Data Analytics techniques for wind energy analysis in the energy domain. The study aims to improve resource utilization using sensor data. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Energy,Big Data Analytics,National Science Foundation
P183,Efficient Disease Diagnosis using Internet of Things,"This project proposes the use of Internet of Things techniques for disease diagnosis in the healthcare domain. The study aims to optimize workflows using text documents. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Healthcare,Internet of Things,International Research Foundation
P010,Automated Yield Prediction using Deep Learning,"This project proposes the use of Deep Learning techniques for yield prediction in the agriculture domain. The study aims to enhance decision making using financial transactions. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Agriculture,Deep Learning,International Research Foundation
P197,Power Consumption Prediction using Computer Vision,"This proposal develops a Computer Vision framework for power consumption prediction within the energy domain. The research focuses on improving performance through advanced learning algorithms, optimization strategies, and intelligent decision support systems.",Energy,Computer Vision,Department of Biotechnology
P137,Advanced Disease Diagnosis using Internet of Things,"This project proposes the use of Internet of Things techniques for disease diagnosis in the healthcare domain. The study aims to automate monitoring using text documents. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Healthcare,Internet of Things,Industrial Research Council
P188,Hybrid Fleet Management using Natural Language Processing,"This project proposes the use of Natural Language Processing techniques for fleet management in the transportation domain. The study aims to support early detection using medical records. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Transportation,Natural Language Processing,AI Research Council
P208,Student Performance Prediction using Predictive Analytics,"This proposal develops a Predictive Analytics framework for student performance prediction within the education domain. The research focuses on improving performance through advanced learning algorithms, optimization strategies, and intelligent decision support systems.",Education,Predictive Analytics,Innovation Fund
P127,Efficient Disaster Management using Internet of Things,"This project proposes the use of Internet of Things techniques for disaster management in the environmental science domain. The study aims to support early detection using satellite images. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Environmental Science,Internet of Things,International Research Foundation
